segment_id,start_pos,end_pos,start_time,end_time,length,net_return,theta_mean,amp_z_mean,sigma_mean,viscosity_mean,sign_global
113,1058,1059,2020-04-02 00:00:00+00:00,2020-04-03 00:00:00+00:00,2,0.0034499005063053367,0.0034445988718171563,0.5520483331191428,0.08701186146618906,0.43116222851923225,1.0
114,1060,1060,2020-04-06 00:00:00+00:00,2020-04-06 00:00:00+00:00,1,0.09567911599261114,0.09538874464647405,1.087310320502038,0.08799613442032862,0.6738683064790202,1.0
115,1061,1070,2020-04-07 00:00:00+00:00,2020-04-21 00:00:00+00:00,10,0.004126899396925232,0.0016658656568196144,0.4804873659842728,0.06685424967515782,0.8075571034272601,1.0
116,1071,1078,2020-04-22 00:00:00+00:00,2020-05-01 00:00:00+00:00,8,0.0480639238996452,0.015396042420026972,0.5973321409648661,0.04398934864649073,1.2122403071960677,1.0
117,1079,1084,2020-05-04 00:00:00+00:00,2020-05-11 00:00:00+00:00,6,0.1318058970569027,0.025149348125974042,0.6755029574846464,0.03252585679986566,5.085976060454168,1.0
118,1085,1091,2020-05-12 00:00:00+00:00,2020-05-20 00:00:00+00:00,7,0.10628987453595462,0.024039295899364224,0.8557968913838078,0.029110091504589708,0.9706302823387263,1.0
119,1092,1092,2020-05-21 00:00:00+00:00,2020-05-21 00:00:00+00:00,1,-0.021950458669916628,-0.0219469342794546,0.8891938210004539,0.02468578757472856,0.5425276869705696,-1.0
120,1093,1093,2020-05-22 00:00:00+00:00,2020-05-22 00:00:00+00:00,1,0.028201777125479666,0.02819430402202122,1.1313573615806638,0.024927371995444703,0.5623233153014343,1.0
121,1094,1105,2020-05-26 00:00:00+00:00,2020-06-10 00:00:00+00:00,12,0.037485397700796064,0.010480196888447812,0.6903610790514931,0.025839481116003912,0.9324402881538081,1.0
122,1106,1115,2020-06-11 00:00:00+00:00,2020-06-24 00:00:00+00:00,10,-0.014111363187426562,-0.012815480207131157,0.7499568835956685,0.026155117129790406,0.7885174611803474,-1.0
123,1116,1116,2020-06-25 00:00:00+00:00,2020-06-25 00:00:00+00:00,1,0.02718369154882838,0.02717699869174734,1.109132118447539,0.024508965167789398,0.5421152090411543,1.0
124,1117,1127,2020-06-26 00:00:00+00:00,2020-07-13 00:00:00+00:00,11,0.0575578587739205,0.002860115412369512,0.8176860660793096,0.0241443861624012,1.1246986169581357,1.0
125,1128,1132,2020-07-14 00:00:00+00:00,2020-07-20 00:00:00+00:00,5,0.04460233737805863,0.017980804892409052,0.80799469506171,0.022679933013714813,0.8230158279280259,1.0
126,1133,1137,2020-07-21 00:00:00+00:00,2020-07-27 00:00:00+00:00,5,-0.008527429305113188,-0.0065888523027698865,0.7597203892376724,0.022830982667786034,0.6136050624147819,-1.0
127,1138,1138,2020-07-28 00:00:00+00:00,2020-07-28 00:00:00+00:00,1,-0.01996506066931536,-0.019962408588228675,0.9021129555294672,0.022131432129214833,0.47549302993004583,-1.0
